uri,dc.identifier,notation,prefLabel,definition,note,inScheme,topConceptOf
concept:99,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.99,99,Cypridina (Entomis) sp.,Cypridina (Entomis) sp.,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:100,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.100,100,Spirophyton sp.,Spirophyton sp.,marien ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:101,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.101,101,Dorycordaites sp.,Dorycordaites sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:102,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.102,102,Bellinurus sp.,Bellinurus sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:103,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.103,103,Prestwichia sp.,Prestwichia sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:104,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.104,104,Carbonia sp.,Carbonia sp.,zoetwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:105,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.105,105,Acrolepis sp.,Acrolepis sp.,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:106,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.106,106,Palaeoxyris sp.,Palaeoxyris sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:107,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.107,107,Sclapellites sp.,Sclapellites sp.,onbepaald,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:108,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.108,108,Asolanus sp.,Asolanus sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:109,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.109,109,Lycopodiales,Lycopodiales,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:110,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.110,110,Posidonomya sp.,Posidonomya sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:111,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.111,111,Reticuloceras sp.,Reticuloceras sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:112,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.112,112,Anthracoceras sp.,Anthracoceras sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:113,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.113,113,Orthoceras sp.,Orthoceras sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:114,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.114,114,Palaeocaris sp.,Palaeocaris sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:115,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.115,115,Productus sp.,Productus sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:116,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.116,116,Schizophoria sp.,Schizophoria sp.,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:117,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.117,117,Gastropoden,Gastropoden,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:118,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.118,118,Straparolus sp.,Straparolus sp.,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:119,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.119,119,Chonetes sp.,Chonetes sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:120,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.120,120,spirifer,spirifer (geslacht van uitgestorven armpotigen/brachiopoden),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:121,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.121,121,Dentallum sp.,Dentallum sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:122,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.122,122,Rhipidomella sp.,Rhipidomella sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:123,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.123,123,Arthyris lamellosa,Arthyris lamellosa,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
